/CK (x=0.7) X,/CK (x=0.7) Y,/D (x=0.7) X,/D (x=0.7) Y,/QD (x=0.7) X,/QD (x=0.7) Y
5.098759673967405e-08,0,5.098759673967405e-08,0.7,5.098759673967405e-08,6.89613489331463e-08
5.498759673967405e-08,0,5.498759673967405e-08,0.7,5.498759673967405e-08,6.925758327634973e-08
5.898759673967405e-08,0,5.898759673967405e-08,0.7,5.898759673967405e-08,6.896114440683489e-08
6.298759673967405e-08,0,6.298759673967405e-08,0.7,6.298759673967405e-08,6.925777574667257e-08
6.698759673967404e-08,0,6.698759673967404e-08,0.7,6.698759673967404e-08,6.896096380631864e-08
7.098759673967404e-08,0,7.098759673967404e-08,0.7,7.098759673967404e-08,6.925794466004609e-08
7.498759673967404e-08,0,7.498759673967404e-08,0.7,7.498759673967404e-08,6.896080639894619e-08
7.898759673967403e-08,0,7.898759673967403e-08,0.7,7.898759673967403e-08,6.925809074017673e-08
8.298759673967403e-08,0,8.298759673967403e-08,0.7,8.298759673967403e-08,6.896067147094258e-08
8.698759673967402e-08,0,8.698759673967402e-08,0.7,8.698759673967402e-08,6.925821468960626e-08
9.098759673967402e-08,0,9.098759673967402e-08,0.7,9.098759673967402e-08,6.896055832935732e-08
9.498759673967402e-08,0,9.498759673967402e-08,0.7,9.498759673967402e-08,6.925831719070719e-08
9.898759673967401e-08,0,9.898759673967401e-08,0.7,9.898759673967401e-08,6.896046630313456e-08
1.02987596739674e-07,0,1.02987596739674e-07,0.7,1.02987596739674e-07,6.925839890554799e-08
1.06987596739674e-07,0,1.06987596739674e-07,0.7,1.06987596739674e-07,6.896039473810252e-08
1.10987596739674e-07,0,1.10987596739674e-07,0.7,1.10987596739674e-07,6.925846047978866e-08
1.14987596739674e-07,0,1.14987596739674e-07,0.7,1.14987596739674e-07,6.896034299875223e-08
1.18987596739674e-07,0,1.18987596739674e-07,0.7,1.18987596739674e-07,6.925850253803339e-08
1.22987596739674e-07,0,1.22987596739674e-07,0.7,1.22987596739674e-07,6.896031046962207e-08
1.26987596739674e-07,0,1.26987596739674e-07,0.7,1.26987596739674e-07,6.925852568803824e-08
1.30987596739674e-07,0,1.30987596739674e-07,0.7,1.30987596739674e-07,6.896029655098857e-08
1.34987596739674e-07,0,1.34987596739674e-07,0.7,1.34987596739674e-07,6.925853052085511e-08
1.38987596739674e-07,0,1.38987596739674e-07,0.7,1.38987596739674e-07,6.896030066031647e-08
1.42987596739674e-07,0,1.42987596739674e-07,0.7,1.42987596739674e-07,6.925851761094988e-08
1.46987596739674e-07,0,1.46987596739674e-07,0.7,1.46987596739674e-07,6.896032223106456e-08
1.509875967396741e-07,0,1.509875967396741e-07,0.7,1.509875967396741e-07,6.925848751643585e-08
1.549875967396741e-07,0,1.549875967396741e-07,0.7,1.549875967396741e-07,6.896036071457336e-08
1.589875967396741e-07,0,1.589875967396741e-07,0.7,1.589875967396741e-07,6.925844077790675e-08
1.629875967396741e-07,0,1.629875967396741e-07,0.7,1.629875967396741e-07,6.896041557590816e-08
1.669875967396741e-07,0,1.669875967396741e-07,0.7,1.669875967396741e-07,6.925837792375006e-08
1.709875967396741e-07,0,1.709875967396741e-07,0.7,1.709875967396741e-07,6.896048629499693e-08
1.749875967396741e-07,0,1.749875967396741e-07,0.7,1.749875967396741e-07,6.925829946567697e-08
1.774937983698371e-07,0,1.774937983698371e-07,0.7,1.774937983698371e-07,6.896060090274069e-08
1.8e-07,0,1.8e-07,0.7,1.8e-07,6.925814317259235e-08
1.80000009765625e-07,0.0006835937491213788,1.80000009765625e-07,0.7,1.80000009765625e-07,2.052498119643832e-06
1.80000029296875e-07,0.002050781247364136,1.80000029296875e-07,0.7,1.80000029296875e-07,8.979059824726456e-06
1.800000683593749e-07,0.004785156243849651,1.800000683593749e-07,0.7,1.800000683593749e-07,2.984919574612137e-05
1.800000865082889e-07,0.006055580223122079,1.800000865082889e-07,0.7,1.800000865082889e-07,4.514445666734685e-05
1.800001228061169e-07,0.008596428181666938,1.800001228061169e-07,0.7,1.800001228061169e-07,6.816744663879501e-05
1.800001954017728e-07,0.01367812409875666,1.800001954017728e-07,0.7,1.800001954017728e-07,0.0001102549850730742
1.800003230190646e-07,0.02261133452392782,1.800003230190646e-07,0.7,1.800003230190646e-07,0.000183334660356419
1.800005782536482e-07,0.04047775537427015,1.800005782536482e-07,0.7,1.800005782536482e-07,0.0003142003811174512
1.800010887228154e-07,0.07621059707495481,1.800010887228154e-07,0.7,1.800010887228154e-07,0.0005328518489091239
1.800021096611497e-07,0.1476762804763241,1.800021096611497e-07,0.7,1.800021096611497e-07,0.0008172103781922325
1.800041515378183e-07,0.2906076472790627,1.800041515378183e-07,0.7,1.800041515378183e-07,0.0009833442110087946
1.800072060071324e-07,0.5044204992681428,1.800072060071324e-07,0.7,1.800072060071324e-07,0.0007200297406258286
1.800086030035662e-07,0.6022102496353947,1.800086030035662e-07,0.7,1.800086030035662e-07,0.0005228346373133303
1.8001e-07,0.7,1.8001e-07,0.7,1.8001e-07,0.0003142305531825596
1.800101162155048e-07,0.7,1.800101162155048e-07,0.7,1.800101162155048e-07,0.000223073637915323
1.800103486465144e-07,0.7,1.800103486465144e-07,0.7,1.800103486465144e-07,3.481540410643778e-05
1.800104548377351e-07,0.7,1.800104548377351e-07,0.7,1.800104548377351e-07,-5.343956678473494e-05
1.800106672201765e-07,0.7,1.800106672201765e-07,0.7,1.800106672201765e-07,-0.0002237117283319313
1.800110919850592e-07,0.7,1.800110919850592e-07,0.7,1.800110919850592e-07,-0.0005160878429505452
1.800117668104879e-07,0.7,1.800117668104879e-07,0.7,1.800117668104879e-07,-0.0008582611855253642
1.800131164613452e-07,0.7,1.800131164613452e-07,0.7,1.800131164613452e-07,-0.001209476718568021
1.800136880785871e-07,0.7,1.800136880785871e-07,0.7,1.800136880785871e-07,-0.001235098888503406
1.80014831313071e-07,0.7,1.80014831313071e-07,0.7,1.80014831313071e-07,-0.001201930115953862
1.800171177820388e-07,0.7,1.800171177820388e-07,0.7,1.800171177820388e-07,-0.0009517694095090185
1.800212192127717e-07,0.7,1.800212192127717e-07,0.7,1.800212192127717e-07,-0.0004037740988191169
1.800258799476198e-07,0.7,1.800258799476198e-07,0.7,1.800258799476198e-07,-1.592949846450152e-05
1.800315679535123e-07,0.7,1.800315679535123e-07,0.7,1.800315679535123e-07,0.000103540049610768
1.800385113126279e-07,0.7,1.800385113126279e-07,0.7,1.800385113126279e-07,9.664168351872861e-05
1.800480007671885e-07,0.7,1.800480007671885e-07,0.7,1.800480007671885e-07,6.684761796536674e-05
1.800579978387204e-07,0.7,1.800579978387204e-07,0.7,1.800579978387204e-07,0.0001168838089174782
1.800688077110093e-07,0.7,1.800688077110093e-07,0.7,1.800688077110093e-07,0.000262540294444951
1.800794451798118e-07,0.7,1.800794451798118e-07,0.7,1.800794451798118e-07,0.0003395429830249292
1.80088621701221e-07,0.7,1.80088621701221e-07,0.7,1.80088621701221e-07,0.0003968286843745123
1.800970912332929e-07,0.7,1.800970912332929e-07,0.7,1.800970912332929e-07,0.0005454799499989674
1.801077483910555e-07,0.7,1.801077483910555e-07,0.7,1.801077483910555e-07,0.0008474954782118326
1.801159080982667e-07,0.7,1.801159080982667e-07,0.7,1.801159080982667e-07,0.001036152337055873
1.801227476832476e-07,0.7,1.801227476832476e-07,0.7,1.801227476832476e-07,0.001087800675359172
1.801284590069412e-07,0.7,1.801284590069412e-07,0.7,1.801284590069412e-07,0.001041245267123722
1.80136079313092e-07,0.7,1.80136079313092e-07,0.7,1.80136079313092e-07,0.0008242048237240035
1.801418785999694e-07,0.7,1.801418785999694e-07,0.7,1.801418785999694e-07,0.0005059552033536046
1.801488790523584e-07,0.7,1.801488790523584e-07,0.7,1.801488790523584e-07,-0.0001650719343258226
1.801582569381277e-07,0.7,1.801582569381277e-07,0.7,1.801582569381277e-07,-0.001917228338406809
1.801689854345364e-07,0.7,1.801689854345364e-07,0.7,1.801689854345364e-07,-0.005920647808114553
1.801796203898379e-07,0.7,1.801796203898379e-07,0.7,1.801796203898379e-07,-0.01474712219360604
1.801919231670672e-07,0.7,1.801919231670672e-07,0.7,1.801919231670672e-07,-0.03939066583797619
1.802049312962438e-07,0.7,1.802049312962438e-07,0.7,1.802049312962438e-07,-0.0784275444142374
1.802148369024635e-07,0.7,1.802148369024635e-07,0.7,1.802148369024635e-07,-0.08444703143293207
1.802226465298474e-07,0.7,1.802226465298474e-07,0.7,1.802226465298474e-07,-0.03003703455190138
1.802283446920267e-07,0.7,1.802283446920267e-07,0.7,1.802283446920267e-07,0.06154343408776886
1.802340412166509e-07,0.7,1.802340412166509e-07,0.7,1.802340412166509e-07,0.1913045187859554
1.802385820568547e-07,0.7,1.802385820568547e-07,0.7,1.802385820568547e-07,0.3099627432177332
