/CLK (x=0.6) X,/CLK (x=0.6) Y,/D (x=0.6) X,/D (x=0.6) Y,/Q (x=0.6) X,/Q (x=0.6) Y
1.585878209277289e-07,0,1.585878209277289e-07,0.6,1.585878209277289e-07,1.117303558300548e-07
1.625878209277289e-07,0,1.625878209277289e-07,0.6,1.625878209277289e-07,1.54167895687366e-07
1.665878209277289e-07,0,1.665878209277289e-07,0.6,1.665878209277289e-07,1.116380639391865e-07
1.70587820927729e-07,0,1.70587820927729e-07,0.6,1.70587820927729e-07,1.54257410363796e-07
1.74587820927729e-07,0,1.74587820927729e-07,0.6,1.74587820927729e-07,1.11551318023601e-07
1.772939104638645e-07,0,1.772939104638645e-07,0.6,1.772939104638645e-07,1.543606613329439e-07
1.8e-07,0,1.8e-07,0.6,1.8e-07,1.114331737586597e-07
1.80000009765625e-07,0.0005859374992468961,1.80000009765625e-07,0.6,1.80000009765625e-07,2.22684838287822e-07
1.80000029296875e-07,0.001757812497740688,1.80000029296875e-07,0.6,1.80000029296875e-07,6.907550835641808e-07
1.800000683593749e-07,0.004101562494728273,1.800000683593749e-07,0.6,1.800000683593749e-07,2.424015953694054e-06
1.800000859376974e-07,0.00515626184315186,1.800000859376974e-07,0.6,1.800000859376974e-07,3.308957871682601e-06
1.800001210943423e-07,0.007265660539999033,1.800001210943423e-07,0.6,1.800001210943423e-07,5.01815916427771e-06
1.800001914076322e-07,0.01148445793369338,1.800001914076322e-07,0.6,1.800001914076322e-07,8.389912623712172e-06
1.80000332034212e-07,0.01992205272108208,1.80000332034212e-07,0.6,1.80000332034212e-07,1.495021460683992e-05
1.800006132873716e-07,0.03679724229585946,1.800006132873716e-07,0.6,1.800006132873716e-07,2.72964433359008e-05
1.800011757936908e-07,0.07054762144541424,1.800011757936908e-07,0.6,1.800011757936908e-07,5.517683042590326e-05
1.800023008063291e-07,0.1380483797445238,1.800023008063291e-07,0.6,1.800023008063291e-07,9.245752582298156e-05
1.800045508316057e-07,0.2730498963427429,1.800045508316057e-07,0.6,1.800045508316057e-07,0.0001285032572959452
1.800072754158029e-07,0.4365249481717117,1.800072754158029e-07,0.6,1.800072754158029e-07,0.0001297880955448806
1.8001e-07,0.6,1.8001e-07,0.6,1.8001e-07,0.000104237986529543
1.800101275298864e-07,0.6,1.800101275298864e-07,0.6,1.800101275298864e-07,9.821093824274478e-05
1.800103825896591e-07,0.6,1.800103825896591e-07,0.6,1.800103825896591e-07,8.530341107974051e-05
1.800108927092047e-07,0.6,1.800108927092047e-07,0.6,1.800108927092047e-07,6.111583563624785e-05
1.800110166756284e-07,0.6,1.800110166756284e-07,0.6,1.800110166756284e-07,5.571119010697716e-05
1.80011264608476e-07,0.6,1.80011264608476e-07,0.6,1.80011264608476e-07,4.510547558394163e-05
1.800117604741711e-07,0.6,1.800117604741711e-07,0.6,1.800117604741711e-07,2.561458001157632e-05
1.800125430141867e-07,0.6,1.800125430141867e-07,0.6,1.800125430141867e-07,-1.327988147610069e-06
1.800129342841945e-07,0.6,1.800129342841945e-07,0.6,1.800129342841945e-07,-1.281958384702961e-05
1.800137168242101e-07,0.6,1.800137168242101e-07,0.6,1.800137168242101e-07,-3.320005079351796e-05
1.800152819042413e-07,0.6,1.800152819042413e-07,0.6,1.800152819042413e-07,-6.358099305667149e-05
1.800182606067607e-07,0.6,1.800182606067607e-07,0.6,1.800182606067607e-07,-9.136024184813836e-05
1.800195847650206e-07,0.6,1.800195847650206e-07,0.6,1.800195847650206e-07,-9.416533578765927e-05
1.800222330815405e-07,0.6,1.800222330815405e-07,0.6,1.800222330815405e-07,-9.173109189658087e-05
1.800275297145802e-07,0.6,1.800275297145802e-07,0.6,1.800275297145802e-07,-7.003842041344215e-05
1.800355109135549e-07,0.6,1.800355109135549e-07,0.6,1.800355109135549e-07,-3.246731538987819e-05
1.800449017725855e-07,0.6,1.800449017725855e-07,0.6,1.800449017725855e-07,-9.679717580094268e-06
1.800569986162008e-07,0.6,1.800569986162008e-07,0.6,1.800569986162008e-07,-1.638801739440294e-06
1.80068450825743e-07,0.6,1.80068450825743e-07,0.6,1.80068450825743e-07,4.363811483662547e-06
1.800773512220065e-07,0.6,1.800773512220065e-07,0.6,1.800773512220065e-07,8.99744051586746e-06
1.8008679034239e-07,0.6,1.8008679034239e-07,0.6,1.8008679034239e-07,8.950726128699125e-06
1.800993475796919e-07,0.6,1.800993475796919e-07,0.6,1.800993475796919e-07,4.22253278058813e-06
1.801244620542956e-07,0.6,1.801244620542956e-07,0.6,1.801244620542956e-07,-4.157886044756377e-06
1.80159490085781e-07,0.6,1.80159490085781e-07,0.6,1.80159490085781e-07,-9.986799628295724e-06
1.802076465514962e-07,0.6,1.802076465514962e-07,0.6,1.802076465514962e-07,-1.125004035333359e-05
1.802683796785231e-07,0.6,1.802683796785231e-07,0.6,1.802683796785231e-07,7.915490973171069e-06
1.803067787063181e-07,0.6,1.803067787063181e-07,0.6,1.803067787063181e-07,5.449106449021567e-05
1.803336842433361e-07,0.6,1.803336842433361e-07,0.6,1.803336842433361e-07,0.0001517300727052511
1.803640869585567e-07,0.6,1.803640869585567e-07,0.6,1.803640869585567e-07,0.000435274497319714
1.803876812875232e-07,0.6,1.803876812875232e-07,0.6,1.803876812875232e-07,0.0009783881939317966
1.804129949101275e-07,0.6,1.804129949101275e-07,0.6,1.804129949101275e-07,0.001564727202135058
1.804298093142783e-07,0.6,1.804298093142783e-07,0.6,1.804298093142783e-07,0.001575309377208722
1.804492938767422e-07,0.6,1.804492938767422e-07,0.6,1.804492938767422e-07,0.0008740267978258817
1.804670725344213e-07,0.6,1.804670725344213e-07,0.6,1.804670725344213e-07,-0.001128034754742043
1.804841418138047e-07,0.6,1.804841418138047e-07,0.6,1.804841418138047e-07,-0.005701014685147682
1.804993282823967e-07,0.6,1.804993282823967e-07,0.6,1.804993282823967e-07,-0.013266822641703
1.8051e-07,0.6,1.8051e-07,0.6,1.8051e-07,-0.02134167321461379
1.805100390625e-07,0.5976562499984898,1.805100390625e-07,0.6,1.805100390625e-07,-0.0213772029608621
1.805101171875e-07,0.5929687499981618,1.805101171875e-07,0.6,1.805101171875e-07,-0.02144904322399439
1.805102734375e-07,0.583593749997506,1.805102734375e-07,0.6,1.805102734375e-07,-0.02159319711398315
1.805104567337247e-07,0.5725959765165838,1.805104567337247e-07,0.6,1.805104567337247e-07,-0.02176205031399977
1.80510763964542e-07,0.5541621274785478,1.80510763964542e-07,0.6,1.80510763964542e-07,-0.02204534856902068
1.805113043629004e-07,0.5217382259758938,1.805113043629004e-07,0.6,1.805113043629004e-07,-0.02254447704502708
1.80512189537675e-07,0.468627739502152,1.80512189537675e-07,0.6,1.80512189537675e-07,-0.02336453357705888
1.805136356004646e-07,0.3818639721243353,1.805136356004646e-07,0.6,1.805136356004646e-07,-0.02471338452402871
1.805163931142387e-07,0.2164131456781602,1.805163931142387e-07,0.6,1.805163931142387e-07,-0.0273385981404085
1.805181965571193e-07,0.1082065728388609,1.805181965571193e-07,0.6,1.805181965571193e-07,-0.02910539019630974
1.8052e-07,0,1.8052e-07,0.6,1.8052e-07,-0.03091828479047991
1.805201432490225e-07,0,1.805201432490225e-07,0.6,1.805201432490225e-07,-0.03106001821226265
1.805204297470674e-07,0,1.805204297470674e-07,0.6,1.805204297470674e-07,-0.03134442117334024
1.805205532107375e-07,0,1.805205532107375e-07,0.6,1.805205532107375e-07,-0.03146808275997259
1.805208001380777e-07,0,1.805208001380777e-07,0.6,1.805208001380777e-07,-0.03171778079913774
1.805212939927581e-07,0,1.805212939927581e-07,0.6,1.805212939927581e-07,-0.03222551623895621
1.805219614765864e-07,0,1.805219614765864e-07,0.6,1.805219614765864e-07,-0.03292900067517486
1.805222952185005e-07,0,1.805222952185005e-07,0.6,1.805222952185005e-07,-0.0332878013283821
1.805229627023288e-07,0,1.805229627023288e-07,0.6,1.805229627023288e-07,-0.03401889360438466
1.805242976699853e-07,0,1.805242976699853e-07,0.6,1.805242976699853e-07,-0.03553054769658997
1.80524898802091e-07,0,1.80524898802091e-07,0.6,1.80524898802091e-07,-0.0362315690226403
1.805261010663024e-07,0,1.805261010663024e-07,0.6,1.805261010663024e-07,-0.03766693806462824
1.805285055947251e-07,0,1.805285055947251e-07,0.6,1.805285055947251e-07,-0.04065313383677571
