/CLK (x=0.6) X,/CLK (x=0.6) Y,/D (x=0.6) X,/D (x=0.6) Y,/QB (x=0.6) X,/QB (x=0.6) Y
0,0,0,0,0,0.5999998984212214
1e-10,0,1e-10,0,1e-10,0.5999998984212214
1.00009765625e-10,0,1.00009765625e-10,0.000585937499999889,1.00009765625e-10,0.600001006003143
1.00029296875e-10,0,1.00029296875e-10,0.001757812499999667,1.00029296875e-10,0.6000052756339513
1.00068359375e-10,0,1.00068359375e-10,0.004101562499999222,1.00068359375e-10,0.6000195470223353
1.000852853705237e-10,0,1.000852853705237e-10,0.005117122231421933,1.000852853705237e-10,0.6000268115914335
1.001191373615711e-10,0,1.001191373615711e-10,0.007148241694267353,1.001191373615711e-10,0.6000403402756769
1.00186841343666e-10,0,1.00186841343666e-10,0.01121048061995819,1.00186841343666e-10,0.6000667476541407
1.003020108495065e-10,0,1.003020108495065e-10,0.01812065097039079,1.003020108495065e-10,0.6001132235661429
1.005323498611876e-10,0,1.005323498611876e-10,0.03194099167125598,1.005323498611876e-10,0.6002001913659226
1.008557758132448e-10,0,1.008557758132448e-10,0.05134654879468558,1.008557758132448e-10,0.6003716487164235
1.015026277173591e-10,0,1.015026277173591e-10,0.09015766304154477,1.015026277173591e-10,0.6006039871784024
1.027446697536628e-10,0,1.027446697536628e-10,0.1646801852197679,1.027446697536628e-10,0.6009209175615573
1.051849183751296e-10,0,1.051849183751296e-10,0.3110951025077774,1.051849183751296e-10,0.6011830548993523
1.075924591875648e-10,0,1.075924591875648e-10,0.4555475512538892,1.075924591875648e-10,0.6012046832977448
1.1e-10,0,1.1e-10,0.6,1.1e-10,0.6011034261926784
1.102356525997345e-10,0,1.102356525997345e-10,0.6,1.102356525997345e-10,0.6010051188771217
1.107069577992035e-10,0,1.107069577992035e-10,0.6,1.107069577992035e-10,0.6008093610628121
1.108592785302177e-10,0,1.108592785302177e-10,0.6,1.108592785302177e-10,0.6007499581497017
1.111639199922461e-10,0,1.111639199922461e-10,0.6,1.111639199922461e-10,0.600637616987785
1.117732029163029e-10,0,1.117732029163029e-10,0.6,1.117732029163029e-10,0.600433898614793
1.129096177604587e-10,0,1.129096177604587e-10,0.6,1.129096177604587e-10,0.600126395716699
1.151824474487702e-10,0,1.151824474487702e-10,0.6,1.151824474487702e-10,0.599753760135328
1.19074305901751e-10,0,1.19074305901751e-10,0.6,1.19074305901751e-10,0.5994779884921305
1.237429544313105e-10,0,1.237429544313105e-10,0.6,1.237429544313105e-10,0.5994373091567767
1.293941969184958e-10,0,1.293941969184958e-10,0.6,1.293941969184958e-10,0.5995398852555125
1.363529934907179e-10,0,1.363529934907179e-10,0.6,1.363529934907179e-10,0.5996955645253251
1.455556558020884e-10,0,1.455556558020884e-10,0.6,1.455556558020884e-10,0.5998516568586406
1.569992126337119e-10,0,1.569992126337119e-10,0.6,1.569992126337119e-10,0.5999537211854679
