/CLK (x=0.8) X,/CLK (x=0.8) Y,/D (x=0.8) X,/D (x=0.8) Y,/QB (x=0.8) X,/QB (x=0.8) Y
0,0,0,0,0,0.7999999557616347
1e-10,0,1e-10,0,1e-10,0.7999999557616347
1.00009765625e-10,0,1.00009765625e-10,0.000781249999999852,1.00009765625e-10,0.8000012678515885
1.00029296875e-10,0,1.00029296875e-10,0.002343749999999556,1.00029296875e-10,0.8000066088703071
1.00068359375e-10,0,1.00068359375e-10,0.005468749999998964,1.00068359375e-10,0.8000259957571246
1.000851722883918e-10,0,1.000851722883918e-10,0.006813783071343314,1.000851722883918e-10,0.800038006049371
1.001187981151754e-10,0,1.001187981151754e-10,0.009503849214032013,1.001187981151754e-10,0.8000596912927662
1.001860497687426e-10,0,1.001860497687426e-10,0.01488398149940941,1.001860497687426e-10,0.8000952761392403
1.002813167153006e-10,0,1.002813167153006e-10,0.02250533722404833,1.002813167153006e-10,0.8001497017959277
1.004718506084166e-10,0,1.004718506084166e-10,0.03774804867332617,1.004718506084166e-10,0.8003019795555407
1.008529183946485e-10,0,1.008529183946485e-10,0.06823347157188185,1.008529183946485e-10,0.80048836139541
1.015306904999359e-10,0,1.015306904999359e-10,0.1224552399948685,1.015306904999359e-10,0.8006973412462269
1.026450041538639e-10,0,1.026450041538639e-10,0.2116003323091152,1.026450041538639e-10,0.8007892240166201
1.047213071054666e-10,0,1.047213071054666e-10,0.3777045684373299,1.047213071054666e-10,0.8005002160417805
1.077845015920035e-10,0,1.077845015920035e-10,0.6227601273602833,1.077845015920035e-10,0.7999638969286712
1.1e-10,0,1.1e-10,0.8,1.1e-10,0.7998298716531534
1.101428452922571e-10,0,1.101428452922571e-10,0.8,1.101428452922571e-10,0.7997790111022892
1.104285358767712e-10,0,1.104285358767712e-10,0.8,1.104285358767712e-10,0.799675973665278
1.105679934994011e-10,0,1.105679934994011e-10,0.8,1.105679934994011e-10,0.7996323003062488
1.108469087446609e-10,0,1.108469087446609e-10,0.8,1.108469087446609e-10,0.7995622854083625
1.114047392351805e-10,0,1.114047392351805e-10,0.8,1.114047392351805e-10,0.7994637096932712
1.122792986917786e-10,0,1.122792986917786e-10,0.8,1.122792986917786e-10,0.7993927825708556
1.140284176049748e-10,0,1.140284176049748e-10,0.8,1.140284176049748e-10,0.799419806323771
1.166197696299534e-10,0,1.166197696299534e-10,0.8,1.166197696299534e-10,0.7996162322048546
1.197879905030924e-10,0,1.197879905030924e-10,0.8,1.197879905030924e-10,0.7998260645177893
1.23240000837815e-10,0,1.23240000837815e-10,0.8,1.23240000837815e-10,0.7999536524621034
1.283379570627918e-10,0,1.283379570627918e-10,0.8,1.283379570627918e-10,0.8000281945100435
1.354687770955569e-10,0,1.354687770955569e-10,0.8,1.354687770955569e-10,0.8000667344157931
1.425625751286258e-10,0,1.425625751286258e-10,0.8,1.425625751286258e-10,0.8001320287657802
1.490198979912934e-10,0,1.490198979912934e-10,0.8,1.490198979912934e-10,0.800174319080898
1.551954644527379e-10,0,1.551954644527379e-10,0.8,1.551954644527379e-10,0.8001561563092301
1.591095371642113e-10,0,1.591095371642113e-10,0.8,1.591095371642113e-10,0.8001038509035845
1.641752347944597e-10,0,1.641752347944597e-10,0.8,1.641752347944597e-10,0.8000416889450362
1.68282933951332e-10,0,1.68282933951332e-10,0.8,1.68282933951332e-10,0.8000386070667975
1.743141041444086e-10,0,1.743141041444086e-10,0.8,1.743141041444086e-10,0.8000898810405382
1.799096482069513e-10,0,1.799096482069513e-10,0.8,1.799096482069513e-10,0.8000671698615924
1.860924052628657e-10,0,1.860924052628657e-10,0.8,1.860924052628657e-10,0.7998808972073316
1.910116322398741e-10,0,1.910116322398741e-10,0.8,1.910116322398741e-10,0.7996309716010932
1.957395241208124e-10,0,1.957395241208124e-10,0.8,1.957395241208124e-10,0.7994315063479885
