/D (x=0.8) X,/D (x=0.8) Y,/CLK (x=0.8) X,/CLK (x=0.8) Y,/Q (x=0.8) X,/Q (x=0.8) Y
1.500249541148308e-10,0.8,1.500249541148308e-10,0,1.500249541148308e-10,-1.019091639357301e-06
1.963460786624718e-10,0.8,1.963460786624718e-10,0,1.963460786624718e-10,4.904350353756126e-07
2.57333093109887e-10,0.8,2.57333093109887e-10,0,2.57333093109887e-10,-7.120369083131737e-07
3.378639173657292e-10,0.8,3.378639173657292e-10,0,3.378639173657292e-10,3.970127687041679e-07
4.451976643040069e-10,0.8,4.451976643040069e-10,0,4.451976643040069e-10,-6.16582059257422e-07
5.886841072760049e-10,0.8,5.886841072760049e-10,0,5.886841072760049e-10,3.304668236142018e-07
7.81905410744224e-10,0.8,7.81905410744224e-10,0,7.81905410744224e-10,-5.663344515052862e-07
1.041899263150313e-09,0.8,1.041899263150313e-09,0,1.041899263150313e-09,2.9421328004712e-07
1.394215201950293e-09,0.8,1.394215201950293e-09,0,1.394215201950293e-09,-5.397692425857882e-07
1.871184400429291e-09,0.8,1.871184400429291e-09,0,1.871184400429291e-09,2.749172778024403e-07
2.521401972014111e-09,0.8,2.521401972014111e-09,0,2.521401972014111e-09,-5.25643427995628e-07
3.406358227635731e-09,0.8,3.406358227635731e-09,0,3.406358227635731e-09,2.646765818232097e-07
4.61848564972831e-09,0.8,4.61848564972831e-09,0,4.61848564972831e-09,-5.181508909058366e-07
6.275081217516548e-09,0.8,6.275081217516548e-09,0,6.275081217516548e-09,2.592383099243154e-07
8.552369596181317e-09,0.8,8.552369596181317e-09,0,8.552369596181317e-09,-5.141965887138752e-07
1.167354549747843e-08,0.8,1.167354549747843e-08,0,1.167354549747843e-08,2.563550021596691e-07
1.567354549747843e-08,0.8,1.567354549747843e-08,0,1.567354549747843e-08,-5.120451431493592e-07
1.967354549747843e-08,0.8,1.967354549747843e-08,0,1.967354549747843e-08,2.544650891990085e-07
2.367354549747843e-08,0.8,2.367354549747843e-08,0,2.367354549747843e-08,-5.101611664058157e-07
2.767354549747843e-08,0.8,2.767354549747843e-08,0,2.767354549747843e-08,2.525895021833593e-07
3.167354549747843e-08,0.8,3.167354549747843e-08,0,3.167354549747843e-08,-5.082742836015799e-07
3.567354549747843e-08,0.8,3.567354549747843e-08,0,3.567354549747843e-08,2.507098249183307e-07
3.967354549747844e-08,0.8,3.967354549747844e-08,0,3.967354549747844e-08,-5.063984471879831e-07
4.367354549747844e-08,0.8,4.367354549747844e-08,0,4.367354549747844e-08,2.488356193258097e-07
4.767354549747844e-08,0.8,4.767354549747844e-08,0,4.767354549747844e-08,-5.045275740329524e-07
5.167354549747844e-08,0.8,5.167354549747844e-08,0,5.167354549747844e-08,2.469667378162754e-07
5.567354549747845e-08,0.8,5.567354549747845e-08,0,5.567354549747845e-08,-5.02661778022543e-07
5.967354549747845e-08,0.8,5.967354549747845e-08,0,5.967354549747845e-08,2.451031309668429e-07
6.367354549747845e-08,0.8,6.367354549747845e-08,0,6.367354549747845e-08,-5.008011196533768e-07
6.767354549747844e-08,0.8,6.767354549747844e-08,0,6.767354549747844e-08,2.432447803787234e-07
7.167354549747844e-08,0.8,7.167354549747844e-08,0,7.167354549747844e-08,-4.989456358908494e-07
7.567354549747843e-08,0.8,7.567354549747843e-08,0,7.567354549747843e-08,2.413916832042865e-07
7.967354549747843e-08,0.8,7.967354549747843e-08,0,7.967354549747843e-08,-4.970953536415113e-07
8.367354549747843e-08,0.8,8.367354549747843e-08,0,8.367354549747843e-08,2.395438431197468e-07
8.767354549747842e-08,0.8,8.767354549747842e-08,0,8.767354549747842e-08,-4.952502943615034e-07
9.167354549747842e-08,0.8,9.167354549747842e-08,0,9.167354549747842e-08,2.37701266916669e-07
9.567354549747842e-08,0.8,9.567354549747842e-08,0,9.567354549747842e-08,-4.934104758004295e-07
9.967354549747841e-08,0.8,9.967354549747841e-08,0,9.967354549747841e-08,2.358639642150319e-07
1.036735454974784e-07,0.8,1.036735454974784e-07,0,1.036735454974784e-07,-4.915759150823069e-07
1.076735454974784e-07,0.8,1.076735454974784e-07,0,1.076735454974784e-07,2.340319443474737e-07
1.116735454974784e-07,0.8,1.116735454974784e-07,0,1.116735454974784e-07,-4.89746626787501e-07
1.156735454974784e-07,0.8,1.156735454974784e-07,0,1.156735454974784e-07,2.322052183462364e-07
1.196735454974784e-07,0.8,1.196735454974784e-07,0,1.196735454974784e-07,-4.879226259675719e-07
1.236735454974784e-07,0.8,1.236735454974784e-07,0,1.236735454974784e-07,2.303837967334851e-07
1.276735454974784e-07,0.8,1.276735454974784e-07,0,1.276735454974784e-07,-4.861039241848924e-07
1.316735454974784e-07,0.8,1.316735454974784e-07,0,1.316735454974784e-07,2.285676896135073e-07
1.356735454974784e-07,0.8,1.356735454974784e-07,0,1.356735454974784e-07,-4.842905336982731e-07
1.396735454974784e-07,0.8,1.396735454974784e-07,0,1.396735454974784e-07,2.26756907054312e-07
1.436735454974784e-07,0.8,1.436735454974784e-07,0,1.436735454974784e-07,-4.824824668454009e-07
1.476735454974785e-07,0.8,1.476735454974785e-07,0,1.476735454974785e-07,2.249514599714245e-07
1.516735454974785e-07,0.8,1.516735454974785e-07,0,1.516735454974785e-07,-4.806797349141572e-07
1.556735454974785e-07,0.8,1.556735454974785e-07,0,1.556735454974785e-07,2.23151358349947e-07
1.596735454974785e-07,0.8,1.596735454974785e-07,0,1.596735454974785e-07,-4.788823487752719e-07
1.636735454974785e-07,0.8,1.636735454974785e-07,0,1.636735454974785e-07,2.21356612060424e-07
1.676735454974785e-07,0.8,1.676735454974785e-07,0,1.676735454974785e-07,-4.770903188593957e-07
1.716735454974785e-07,0.8,1.716735454974785e-07,0,1.716735454974785e-07,2.195672306948743e-07
1.756735454974785e-07,0.8,1.756735454974785e-07,0,1.756735454974785e-07,-4.753036551768708e-07
1.778367727487393e-07,0.8,1.778367727487393e-07,0,1.778367727487393e-07,2.170274698918577e-07
1.8e-07,0.8,1.8e-07,0,1.8e-07,-4.720141046706349e-07
1.800000390625e-07,0.8,1.800000390625e-07,0.00312500000021861,1.800000390625e-07,-5.793622466302163e-07
1.800001171875e-07,0.8,1.800001171875e-07,0.009375000000655833,1.800001171875e-07,-4.217554625860605e-07
1.800002734375e-07,0.8,1.800002734375e-07,0.02187500000153027,1.800002734375e-07,2.314676754681834e-07
1.800004775130292e-07,0.8,1.800004775130292e-07,0.03820104233849648,1.800004775130292e-07,1.001838852895025e-06
1.800006966021254e-07,0.8,1.800006966021254e-07,0.05572817003183539,1.800006966021254e-07,1.726717141208404e-06
1.800011347803177e-07,0.8,1.800011347803177e-07,0.0907824254185132,1.800011347803177e-07,2.815831527766255e-06
1.800020111367024e-07,0.8,1.800020111367024e-07,0.1608909361918688,1.800020111367024e-07,3.486512745922841e-06
1.800035636777028e-07,0.8,1.800035636777028e-07,0.2850942162248028,1.800035636777028e-07,4.156816417845105e-06
1.800063598694242e-07,0.8,1.800063598694242e-07,0.5087895539399041,1.800063598694242e-07,1.986554756577862e-06
