/CK (x=0.6) X,/CK (x=0.6) Y,/D (x=0.6) X,/D (x=0.6) Y,/QD (x=0.6) X,/QD (x=0.6) Y
0,0,0,0,0,0.5999998984224513
9.765624999999999e-15,0,9.765624999999999e-15,0.0005859375,9.765624999999999e-15,0.5999998985638723
2.9296875e-14,0,2.9296875e-14,0.0017578125,2.9296875e-14,0.5999998991698763
6.8359375e-14,0,6.8359375e-14,0.0041015625,6.8359375e-14,0.5999999004800978
1.256133157024859e-13,0,1.256133157024859e-13,0.007536798942149153,1.256133157024859e-13,0.5999999022559764
2.401211971074576e-13,0,2.401211971074576e-13,0.01440727182644746,2.401211971074576e-13,0.5999999055811556
3.855355034019865e-13,0,3.855355034019865e-13,0.02313213020411919,3.855355034019865e-13,0.5999999097776989
6.763641159910444e-13,0,6.763641159910444e-13,0.04058184695946267,6.763641159910444e-13,0.5999999176808509
1.25802134116916e-12,0,1.25802134116916e-12,0.07548128047014961,1.25802134116916e-12,0.5999999319397464
2.421335791525392e-12,0,2.421335791525392e-12,0.1452801474915235,2.421335791525392e-12,0.5999999556859785
4.747964692237855e-12,0,4.747964692237855e-12,0.2848778815342713,4.747964692237855e-12,0.5999999876452351
7.373982346118928e-12,0,7.373982346118928e-12,0.4424389407671356,7.373982346118928e-12,0.6000000090771481
9.999999999999999e-12,0,9.999999999999999e-12,0.6,9.999999999999999e-12,0.6000000083646727
1.015844813260751e-11,0,1.015844813260751e-11,0.6,1.015844813260751e-11,0.6000000046249577
1.023767219891127e-11,0,1.023767219891127e-11,0.6,1.023767219891127e-11,0.6000000027691186
1.039612033151878e-11,0,1.039612033151878e-11,0.6,1.039612033151878e-11,0.5999999991866347
1.071301659673381e-11,0,1.071301659673381e-11,0.6,1.071301659673381e-11,0.5999999921132506
1.121940701311239e-11,0,1.121940701311239e-11,0.6,1.121940701311239e-11,0.5999999812312476
1.147260222130168e-11,0,1.147260222130168e-11,0.6,1.147260222130168e-11,0.5999999759800814
1.197899263768026e-11,0,1.197899263768026e-11,0.6,1.197899263768026e-11,0.5999999659169375
1.299177347043741e-11,0,1.299177347043741e-11,0.6,1.299177347043741e-11,0.5999999474779265
1.501733513595172e-11,0,1.501733513595172e-11,0.6,1.501733513595172e-11,0.5999999174159125
1.603011596870887e-11,0,1.603011596870887e-11,0.6,1.603011596870887e-11,0.5999999056434538
1.805567763422318e-11,0,1.805567763422318e-11,0.6,1.805567763422318e-11,0.5999998874520367
2.21068009652518e-11,0,2.21068009652518e-11,0.6,2.21068009652518e-11,0.5999998670676514
3.020904762730904e-11,0,3.020904762730904e-11,0.6,3.020904762730904e-11,0.5999998596595596
3.807039675614214e-11,0,3.807039675614214e-11,0.6,3.807039675614214e-11,0.5999998665291199
4.544936629237547e-11,0,4.544936629237547e-11,0.6,4.544936629237547e-11,0.5999998741091028
