/D (x=0.8) X,/D (x=0.8) Y,/CLK (x=0.8) X,/CLK (x=0.8) Y,/Q (x=0.8) X,/Q (x=0.8) Y
2.591642053563447e-10,0.8,2.591642053563447e-10,0,2.591642053563447e-10,5.6328766321539e-08
2.930184253465534e-10,0.8,2.930184253465534e-10,0,2.930184253465534e-10,5.159771482444996e-08
3.37540216524747e-10,0.8,3.37540216524747e-10,0,3.37540216524747e-10,4.812947936566789e-08
3.969519363903815e-10,0.8,3.969519363903815e-10,0,3.969519363903815e-10,5.168955365969003e-08
4.760256698764678e-10,0.8,4.760256698764678e-10,0,4.760256698764678e-10,4.77352838046463e-08
5.818789525834872e-10,0.8,5.818789525834872e-10,0,5.818789525834872e-10,5.087800114877856e-08
7.239428483287566e-10,0.8,7.239428483287566e-10,0,7.239428483287566e-10,4.863842621567568e-08
9.153897365543625e-10,0.8,9.153897365543625e-10,0,9.153897365543625e-10,4.999069956470442e-08
1.174356682508531e-09,0.8,1.174356682508531e-09,0,1.174356682508531e-09,4.937511163967439e-08
1.525522517762976e-09,0.8,1.525522517762976e-09,0,1.525522517762976e-09,4.940323750653689e-08
2.003395239470069e-09,0.8,2.003395239470069e-09,0,2.003395239470069e-09,4.982673396336798e-08
2.65468417143781e-09,0.8,2.65468417143781e-09,0,2.65468417143781e-09,4.906176273447253e-08
3.545105477341127e-09,0.8,3.545105477341127e-09,0,3.545105477341127e-09,5.008167176565337e-08
4.763506079106447e-09,0.8,4.763506079106447e-09,0,4.763506079106447e-09,4.887294005898793e-08
6.435181370669143e-09,0.8,6.435181370669143e-09,0,6.435181370669143e-09,5.022072616704359e-08
8.729588344491467e-09,0.8,8.729588344491467e-09,0,8.729588344491467e-09,4.877097715509591e-08
1.188602085280906e-08,0.8,1.188602085280906e-08,0,1.188602085280906e-08,5.02952656210937e-08
1.588602085280906e-08,0.8,1.588602085280906e-08,0,1.588602085280906e-08,4.871466353456753e-08
1.988602085280906e-08,0.8,1.988602085280906e-08,0,1.988602085280906e-08,5.034506953151614e-08
2.388602085280906e-08,0.8,2.388602085280906e-08,0,2.388602085280906e-08,4.866474796838124e-08
2.788602085280906e-08,0.8,2.788602085280906e-08,0,2.788602085280906e-08,5.039509535652363e-08
3.188602085280906e-08,0.8,3.188602085280906e-08,0,3.188602085280906e-08,4.861461324641761e-08
3.588602085280906e-08,0.8,3.588602085280906e-08,0,3.588602085280906e-08,5.044533760482089e-08
3.988602085280907e-08,0.8,3.988602085280907e-08,0,3.988602085280907e-08,4.856426483126495e-08
4.388602085280907e-08,0.8,4.388602085280907e-08,0,4.388602085280907e-08,5.049579082802155e-08
4.788602085280907e-08,0.8,4.788602085280907e-08,0,4.788602085280907e-08,4.851370815252642e-08
5.188602085280908e-08,0.8,5.188602085280908e-08,0,5.188602085280908e-08,5.054644961308735e-08
5.588602085280908e-08,0.8,5.588602085280908e-08,0,5.588602085280908e-08,4.846294860507664e-08
5.988602085280908e-08,0.8,5.988602085280908e-08,0,5.988602085280908e-08,5.059730858255112e-08
6.388602085280908e-08,0.8,6.388602085280908e-08,0,6.388602085280908e-08,4.841199154901142e-08
6.788602085280907e-08,0.8,6.788602085280907e-08,0,6.788602085280907e-08,5.064836239396006e-08
7.188602085280907e-08,0.8,7.188602085280907e-08,0,7.188602085280907e-08,4.83608423086241e-08
7.588602085280907e-08,0.8,7.588602085280907e-08,0,7.588602085280907e-08,5.06996057413496e-08
7.988602085280906e-08,0.8,7.988602085280906e-08,0,7.988602085280906e-08,4.830950617181979e-08
8.388602085280906e-08,0.8,8.388602085280906e-08,0,8.388602085280906e-08,5.075103335424624e-08
8.788602085280905e-08,0.8,8.788602085280905e-08,0,8.788602085280905e-08,4.825798839133709e-08
9.188602085280905e-08,0.8,9.188602085280905e-08,0,9.188602085280905e-08,5.080263999882524e-08
9.588602085280905e-08,0.8,9.588602085280905e-08,0,9.588602085280905e-08,4.820629418179668e-08
9.988602085280904e-08,0.8,9.988602085280904e-08,0,9.988602085280904e-08,5.085442047835441e-08
1.03886020852809e-07,0.8,1.03886020852809e-07,0,1.03886020852809e-07,4.815442872228955e-08
1.07886020852809e-07,0.8,1.07886020852809e-07,0,1.07886020852809e-07,5.090636963249159e-08
1.11886020852809e-07,0.8,1.11886020852809e-07,0,1.11886020852809e-07,4.810239715377725e-08
1.15886020852809e-07,0.8,1.15886020852809e-07,0,1.15886020852809e-07,5.095848233918501e-08
1.19886020852809e-07,0.8,1.19886020852809e-07,0,1.19886020852809e-07,4.80502045804724e-08
1.23886020852809e-07,0.8,1.23886020852809e-07,0,1.23886020852809e-07,5.101075351270666e-08
1.278860208528091e-07,0.8,1.278860208528091e-07,0,1.278860208528091e-07,4.799785606850187e-08
1.318860208528091e-07,0.8,1.318860208528091e-07,0,1.318860208528091e-07,5.106317810581628e-08
1.358860208528091e-07,0.8,1.358860208528091e-07,0,1.358860208528091e-07,4.794535664658249e-08
1.398860208528091e-07,0.8,1.398860208528091e-07,0,1.398860208528091e-07,5.111575110926271e-08
1.438860208528091e-07,0.8,1.438860208528091e-07,0,1.438860208528091e-07,4.78927113043798e-08
1.478860208528091e-07,0.8,1.478860208528091e-07,0,1.478860208528091e-07,5.116846755227646e-08
1.518860208528091e-07,0.8,1.518860208528091e-07,0,1.518860208528091e-07,4.783992499338707e-08
1.558860208528091e-07,0.8,1.558860208528091e-07,0,1.558860208528091e-07,5.122132250306259e-08
1.598860208528091e-07,0.8,1.598860208528091e-07,0,1.598860208528091e-07,4.778700262610669e-08
1.638860208528091e-07,0.8,1.638860208528091e-07,0,1.638860208528091e-07,5.127431106834933e-08
1.678860208528091e-07,0.8,1.678860208528091e-07,0,1.678860208528091e-07,4.773394907627873e-08
