/CLK (x=0.7) X,/CLK (x=0.7) Y,/D (x=0.7) X,/D (x=0.7) Y,/Q (x=0.7) X,/Q (x=0.7) Y
0,0,0,0,0,6.910941346348095e-08
3.90625e-14,0,3.90625e-14,0.002734375,3.90625e-14,1.333284094230619e-07
1.171875e-13,0,1.171875e-13,0.008203125,1.171875e-13,4.080397624814247e-07
1.5625e-13,0,1.5625e-13,0.0109375,1.5625e-13,5.585469862127082e-07
2.34375e-13,0,2.34375e-13,0.01640625,2.34375e-13,8.908969893012893e-07
3.906250000000001e-13,0,3.906250000000001e-13,0.02734375000000001,3.906250000000001e-13,1.513509033577237e-06
6.666595434838133e-13,0,6.666595434838133e-13,0.04666616804386693,6.666595434838133e-13,2.600518071253356e-06
1.21872863045144e-12,0,1.21872863045144e-12,0.08531100413160078,1.21872863045144e-12,3.925118420350158e-06
2.285381542963921e-12,0,2.285381542963921e-12,0.1599767080074745,2.285381542963921e-12,4.730940989888149e-06
4.418687367988883e-12,0,4.418687367988883e-12,0.3093081157592218,4.418687367988883e-12,2.406071833796352e-06
7.209343683994441e-12,0,7.209343683994441e-12,0.5046540578796108,7.209343683994441e-12,-1.955390126966598e-06
8.60467184199722e-12,0,8.60467184199722e-12,0.6023270289398054,8.60467184199722e-12,-2.981159614626859e-06
9.999999999999999e-12,0,9.999999999999999e-12,0.7,9.999999999999999e-12,-3.314214931781277e-06
1.006865118750496e-11,0,1.006865118750496e-11,0.7,1.006865118750496e-11,-3.446776525302066e-06
1.020595356251487e-11,0,1.020595356251487e-11,0.7,1.020595356251487e-11,-3.839212410506422e-06
1.027460475001983e-11,0,1.027460475001983e-11,0.7,1.027460475001983e-11,-4.071549748758914e-06
1.041190712502974e-11,0,1.041190712502974e-11,0.7,1.041190712502974e-11,-4.447668123479205e-06
1.068355991264267e-11,0,1.068355991264267e-11,0.7,1.068355991264267e-11,-5.054005931964235e-06
1.078143492384323e-11,0,1.078143492384323e-11,0.7,1.078143492384323e-11,-5.229339041129917e-06
1.097718494624436e-11,0,1.097718494624436e-11,0.7,1.097718494624436e-11,-5.517591502006949e-06
1.13686849910466e-11,0,1.13686849910466e-11,0.7,1.13686849910466e-11,-5.885926209752576e-06
1.215168508065109e-11,0,1.215168508065109e-11,0.7,1.215168508065109e-11,-5.963328309941343e-06
1.254318512545334e-11,0,1.254318512545334e-11,0.7,1.254318512545334e-11,-5.750895133213236e-06
1.332618521505783e-11,0,1.332618521505783e-11,0.7,1.332618521505783e-11,-5.024559604539836e-06
1.489218539426681e-11,0,1.489218539426681e-11,0.7,1.489218539426681e-11,-3.451792889627943e-06
1.719768728009493e-11,0,1.719768728009493e-11,0.7,1.719768728009493e-11,-1.301586938217189e-07
1.967562842673645e-11,0,1.967562842673645e-11,0.7,1.967562842673645e-11,1.920035184038681e-06
2.263763336985677e-11,0,2.263763336985677e-11,0.7,2.263763336985677e-11,2.741893648532e-06
2.630739671262082e-11,0,2.630739671262082e-11,0.7,2.630739671262082e-11,2.410970254674525e-06
2.979690780691013e-11,0,2.979690780691013e-11,0.7,2.979690780691013e-11,1.437005148665927e-06
3.272671955003296e-11,0,3.272671955003296e-11,0.7,3.272671955003296e-11,8.017394122119367e-07
3.589241208359951e-11,0,3.589241208359951e-11,0.7,3.589241208359951e-11,2.838570063696041e-07
4.010751382304162e-11,0,4.010751382304162e-11,0.7,4.010751382304162e-11,-1.257516294182074e-07
4.709408976324754e-11,0,4.709408976324754e-11,0.7,4.709408976324754e-11,-3.544283543697618e-07
5.874405778136219e-11,0,5.874405778136219e-11,0.7,5.874405778136219e-11,-1.875210779893355e-07
7.791373732038035e-11,0,7.791373732038035e-11,0.7,7.791373732038035e-11,1.001437712212703e-07
1.03211255700844e-10,0,1.03211255700844e-10,0.7,1.03211255700844e-10,1.108572040637543e-07
1.301922399470441e-10,0,1.301922399470441e-10,0.7,1.301922399470441e-10,6.797718565470398e-08
1.634957845649398e-10,0,1.634957845649398e-10,0.7,1.634957845649398e-10,8.978084593622411e-08
1.936718953182705e-10,0,1.936718953182705e-10,0.7,1.936718953182705e-10,1.574948653401607e-07
2.18786282881545e-10,0,2.18786282881545e-10,0.7,2.18786282881545e-10,2.043832614567775e-07
2.376125581832316e-10,0,2.376125581832316e-10,0.7,2.376125581832316e-10,-1.429926123169501e-08
2.548054754372364e-10,0,2.548054754372364e-10,0.7,2.548054754372364e-10,-5.36755864600062e-07
2.608090690055446e-10,0,2.608090690055446e-10,0.7,2.608090690055446e-10,-7.218632058783497e-07
2.728162561421609e-10,0,2.728162561421609e-10,0.7,2.728162561421609e-10,-2.773450052112685e-07
2.832852837923411e-10,0,2.832852837923411e-10,0.7,2.832852837923411e-10,-3.357010659183429e-07
2.929368524071263e-10,0,2.929368524071263e-10,0.7,2.929368524071263e-10,-6.220292067783626e-07
2.995458535853206e-10,0,2.995458535853206e-10,0.7,2.995458535853206e-10,3.294867972465849e-07
3.065859548058233e-10,0,3.065859548058233e-10,0.7,3.065859548058233e-10,1.314046251481341e-06
3.133479272502022e-10,0,3.133479272502022e-10,0.7,3.133479272502022e-10,1.859665402823877e-06
3.221274566582337e-10,0,3.221274566582337e-10,0.7,3.221274566582337e-10,1.636891894383107e-06
3.312232046037981e-10,0,3.312232046037981e-10,0.7,3.312232046037981e-10,4.153530439190544e-07
3.437000062502991e-10,0,3.437000062502991e-10,0.7,3.437000062502991e-10,-4.430917062485344e-07
3.584916328141596e-10,0,3.584916328141596e-10,0.7,3.584916328141596e-10,-4.838838700279614e-07
3.779115078173218e-10,0,3.779115078173218e-10,0.7,3.779115078173218e-10,-1.147999432753447e-07
4.041539186068772e-10,0,4.041539186068772e-10,0.7,4.041539186068772e-10,9.774318433704172e-08
4.40645263829586e-10,0,4.40645263829586e-10,0.7,4.40645263829586e-10,8.67411855450876e-08
4.875722700323327e-10,0,4.875722700323327e-10,0.7,4.875722700323327e-10,6.379265246862041e-08
5.494717420005502e-10,0,5.494717420005502e-10,0.7,5.494717420005502e-10,7.719758710054522e-08
6.307634113470629e-10,0,6.307634113470629e-10,0.7,6.307634113470629e-10,6.255591067676921e-08
7.392107824353785e-10,0,7.392107824353785e-10,0.7,7.392107824353785e-10,7.501333466684504e-08
8.836909883960254e-10,0,8.836909883960254e-10,0.7,8.836909883960254e-10,6.422668983737282e-08
1.077070673575382e-09,0,1.077070673575382e-09,0.7,1.077070673575382e-09,7.314858688572476e-08
1.336361144295413e-09,0,1.336361144295413e-09,0.7,1.336361144295413e-09,6.578775391963688e-08
1.685173119933741e-09,0,1.685173119933741e-09,0.7,1.685173119933741e-09,7.187096544711669e-08
2.155785421696011e-09,0,2.155785421696011e-09,0.7,2.155785421696011e-09,6.677923905955445e-08
2.791895463324206e-09,0,2.791895463324206e-09,0.7,2.791895463324206e-09,7.111430304475807e-08
3.65395790545954e-09,0,3.65395790545954e-09,0.7,3.65395790545954e-09,6.734770632904486e-08
4.823450619225738e-09,0,4.823450619225738e-09,0.7,4.823450619225738e-09,7.069049765058937e-08
6.413736845687608e-09,0,6.413736845687608e-09,0.7,6.413736845687608e-09,6.766183817076798e-08
8.577425799486456e-09,0,8.577425799486456e-09,0.7,8.577425799486456e-09,7.045854106474259e-08
1.152726828017397e-08,0,1.152726828017397e-08,0.7,1.152726828017397e-08,6.783265707261565e-08
1.552726828017396e-08,0,1.552726828017396e-08,0.7,1.552726828017396e-08,7.033271851376232e-08
1.952726828017396e-08,0,1.952726828017396e-08,0.7,1.952726828017396e-08,6.793962420958736e-08
2.352726828017396e-08,0,2.352726828017396e-08,0.7,2.352726828017396e-08,7.02256259695304e-08
2.752726828017396e-08,0,2.752726828017396e-08,0.7,2.752726828017396e-08,6.804683516483898e-08
3.152726828017396e-08,0,3.152726828017396e-08,0.7,3.152726828017396e-08,7.01183034626624e-08
3.552726828017397e-08,0,3.552726828017397e-08,0.7,3.552726828017397e-08,6.815426234183005e-08
3.952726828017397e-08,0,3.952726828017397e-08,0.7,3.952726828017397e-08,7.001077845269728e-08
4.352726828017397e-08,0,4.352726828017397e-08,0.7,4.352726828017397e-08,6.826187836146877e-08
4.752726828017397e-08,0,4.752726828017397e-08,0.7,4.752726828017397e-08,6.990307821651061e-08
5.152726828017398e-08,0,5.152726828017398e-08,0.7,5.152726828017398e-08,6.8369656043494e-08
5.552726828017398e-08,0,5.552726828017398e-08,0.7,5.552726828017398e-08,6.979522983061323e-08
5.952726828017398e-08,0,5.952726828017398e-08,0.7,5.952726828017398e-08,6.847756841760967e-08
6.352726828017398e-08,0,6.352726828017398e-08,0.7,6.352726828017398e-08,6.968726015432337e-08
6.752726828017397e-08,0,6.752726828017397e-08,0.7,6.752726828017397e-08,6.85855887381974e-08
7.152726828017397e-08,0,7.152726828017397e-08,0.7,7.152726828017397e-08,6.957919581680201e-08
7.552726828017397e-08,0,7.552726828017397e-08,0.7,7.552726828017397e-08,6.869369049659846e-08
7.952726828017396e-08,0,7.952726828017396e-08,0.7,7.952726828017396e-08,6.947106320172315e-08
8.352726828017396e-08,0,8.352726828017396e-08,0.7,8.352726828017396e-08,6.880184743666708e-08
8.752726828017395e-08,0,8.752726828017395e-08,0.7,8.752726828017395e-08,6.936288843479805e-08
9.152726828017395e-08,0,9.152726828017395e-08,0.7,9.152726828017395e-08,6.891003356603994e-08
9.552726828017395e-08,0,9.552726828017395e-08,0.7,9.552726828017395e-08,6.925469737208854e-08
9.952726828017394e-08,0,9.952726828017394e-08,0.7,9.952726828017394e-08,6.901822316844316e-08
1.035272682801739e-07,0,1.035272682801739e-07,0.7,1.035272682801739e-07,6.914651558808054e-08
1.075272682801739e-07,0,1.075272682801739e-07,0.7,1.075272682801739e-07,6.91263908129273e-08
1.115272682801739e-07,0,1.115272682801739e-07,0.7,1.115272682801739e-07,6.903836836601168e-08
1.155272682801739e-07,0,1.155272682801739e-07,0.7,1.155272682801739e-07,6.92345113665591e-08
1.195272682801739e-07,0,1.195272682801739e-07,0.7,1.195272682801739e-07,6.893028068863295e-08
1.235272682801739e-07,0,1.235272682801739e-07,0.7,1.235272682801739e-07,6.934255999978744e-08
1.27527268280174e-07,0,1.27527268280174e-07,0.7,1.27527268280174e-07,6.882227722819173e-08
1.31527268280174e-07,0,1.31527268280174e-07,0.7,1.31527268280174e-07,6.945051219868244e-08
1.35527268280174e-07,0,1.35527268280174e-07,0.7,1.35527268280174e-07,6.871438233848952e-08
1.39527268280174e-07,0,1.39527268280174e-07,0.7,1.39527268280174e-07,6.955834377305875e-08
1.43527268280174e-07,0,1.43527268280174e-07,0.7,1.43527268280174e-07,6.860662004372326e-08
