/CK X,/CK Y,/D X,/D Y,/QD X,/QD Y
1.811682645095588e-11,0,1.811682645095588e-11,0.8,1.811682645095588e-11,1.216416336004387e-07
2.076340192441908e-11,0,2.076340192441908e-11,0.8,2.076340192441908e-11,1.285325343108937e-07
2.418981169854077e-11,0,2.418981169854077e-11,0.8,2.418981169854077e-11,1.010238937862914e-07
2.889719861185658e-11,0,2.889719861185658e-11,0.8,2.889719861185658e-11,5.75220751087293e-08
3.582204557409247e-11,0,3.582204557409247e-11,0.8,3.582204557409247e-11,3.237025761789284e-08
4.370938574619094e-11,0,4.370938574619094e-11,0.8,4.370938574619094e-11,4.607674322825519e-08
5.191623846539643e-11,0,5.191623846539643e-11,0.8,5.191623846539643e-11,4.857463149445797e-08
5.788557656995878e-11,0,5.788557656995878e-11,0.8,5.788557656995878e-11,4.214838577860695e-08
6.266130737400224e-11,0,6.266130737400224e-11,0.8,6.266130737400224e-11,4.497221463849248e-08
6.752862037167403e-11,0,6.752862037167403e-11,0.8,6.752862037167403e-11,4.914402244274684e-08
7.085018689193859e-11,0,7.085018689193859e-11,0.8,7.085018689193859e-11,8.270979718534069e-08
7.45400589266158e-11,0,7.45400589266158e-11,0.8,7.45400589266158e-11,2.920876698412197e-07
7.742522009836825e-11,0,7.742522009836825e-11,0.8,7.742522009836825e-11,5.896420596388697e-07
8.068025965436489e-11,0,8.068025965436489e-11,0.8,8.068025965436489e-11,5.019269080171625e-07
8.369470780984784e-11,0,8.369470780984784e-11,0.8,8.369470780984784e-11,1.12063235430126e-07
8.694407029209049e-11,0,8.694407029209049e-11,0.8,8.694407029209049e-11,-2.559326366756149e-07
9.045609103500457e-11,0,9.045609103500457e-11,0.8,9.045609103500457e-11,-4.331732244415809e-07
9.534038227603648e-11,0,9.534038227603648e-11,0.8,9.534038227603648e-11,-5.159474919472911e-07
1.012198869234142e-10,0,1.012198869234142e-10,0.8,1.012198869234142e-10,-2.772264135450368e-07
1.068490136484233e-10,0,1.068490136484233e-10,0.8,1.068490136484233e-10,7.753360029337407e-08
1.119188262133898e-10,0,1.119188262133898e-10,0.8,1.119188262133898e-10,1.349892425167948e-07
1.155777875718615e-10,0,1.155777875718615e-10,0.8,1.155777875718615e-10,1.499178463425199e-07
1.194146068883454e-10,0,1.194146068883454e-10,0.8,1.194146068883454e-10,2.323942232226636e-07
1.231549781678144e-10,0,1.231549781678144e-10,0.8,1.231549781678144e-10,2.860625639797274e-07
1.284505523290841e-10,0,1.284505523290841e-10,0.8,1.284505523290841e-10,2.510267546158125e-07
1.337133473042958e-10,0,1.337133473042958e-10,0.8,1.337133473042958e-10,1.709918835525407e-07
1.406029663529316e-10,0,1.406029663529316e-10,0.8,1.406029663529316e-10,8.451963998528448e-08
1.495196554758363e-10,0,1.495196554758363e-10,0.8,1.495196554758363e-10,3.305556798940056e-08
1.60587135849377e-10,0,1.60587135849377e-10,0.8,1.60587135849377e-10,1.88744301908886e-08
1.739937939198233e-10,0,1.739937939198233e-10,0.8,1.739937939198233e-10,2.950449317448599e-08
1.911164257925026e-10,0,1.911164257925026e-10,0.8,1.911164257925026e-10,4.237572565149209e-08
2.146911393351765e-10,0,2.146911393351765e-10,0.8,2.146911393351765e-10,4.910052311075143e-08
2.504399643098225e-10,0,2.504399643098225e-10,0.8,2.504399643098225e-10,4.888166332766164e-08
3.132652661876843e-10,0,3.132652661876843e-10,0.8,3.132652661876843e-10,4.937182072693798e-08
4.121989812948941e-10,0,4.121989812948941e-10,0.8,4.121989812948941e-10,4.881688792051269e-08
5.11099490647447e-10,0,5.11099490647447e-10,0.8,5.11099490647447e-10,4.940565615382377e-08
6.1e-10,0,6.1e-10,0.8,6.1e-10,4.879072728067178e-08
6.100390625e-10,0,6.100390625e-10,0.7968749999999964,6.100390625e-10,4.726984374387959e-08
6.101171875000001e-10,0,6.101171875000001e-10,0.7906249999999894,6.101171875000001e-10,4.306685722616504e-08
6.101562500000001e-10,0,6.101562500000001e-10,0.7874999999999859,6.101562500000001e-10,4.094011097813111e-08
6.102343750000002e-10,0,6.102343750000002e-10,0.7812499999999788,6.102343750000002e-10,3.732998314630796e-08
6.103895260418302e-10,0,6.103895260418302e-10,0.7688379166535801,6.103895260418302e-10,3.037968749399497e-08
6.106307801269172e-10,0,6.106307801269172e-10,0.7495375898466238,6.106307801269172e-10,2.849966480890131e-08
6.111132882970911e-10,0,6.111132882970911e-10,0.7109369362327109,6.111132882970911e-10,1.778548471098978e-08
6.119085253302084e-10,0,6.119085253302084e-10,0.6473179735833261,6.119085253302084e-10,1.053562901586628e-08
6.132825615374713e-10,0,6.132825615374713e-10,0.5373950770022926,6.132825615374713e-10,1.611745949656515e-08
6.150091059569541e-10,0,6.150091059569541e-10,0.3992715234436725,6.150091059569541e-10,3.097172170082169e-08
6.17504552978477e-10,0,6.17504552978477e-10,0.1996357617218376,6.17504552978477e-10,6.117675485865583e-08
6.187522764892385e-10,0,6.187522764892385e-10,0.09981788086092014,6.187522764892385e-10,6.676777111368942e-08
6.199999999999999e-10,0,6.199999999999999e-10,0,6.199999999999999e-10,7.288019867255817e-08
6.200691553295883e-10,0,6.200691553295883e-10,0,6.200691553295883e-10,7.640171629817578e-08
6.202074659887651e-10,0,6.202074659887651e-10,0,6.202074659887651e-10,8.490116082342901e-08
6.202766213183535e-10,0,6.202766213183535e-10,0,6.202766213183535e-10,8.891810453311864e-08
6.204149319775303e-10,0,6.204149319775303e-10,0,6.204149319775303e-10,9.615747307631842e-08
6.206412318160034e-10,0,6.206412318160034e-10,0,6.206412318160034e-10,1.073597200607041e-07
6.209810919943939e-10,0,6.209810919943939e-10,0,6.209810919943939e-10,1.209191997402901e-07
6.21660812351175e-10,0,6.21660812351175e-10,0,6.21660812351175e-10,1.391211941029403e-07
6.23020253064737e-10,0,6.23020253064737e-10,0,6.23020253064737e-10,1.464754178864788e-07
6.247727038195636e-10,0,6.247727038195636e-10,0,6.247727038195636e-10,1.341935219714477e-07
6.269552976640103e-10,0,6.269552976640103e-10,0,6.269552976640103e-10,9.790224279609181e-08
6.292156186746162e-10,0,6.292156186746162e-10,0,6.292156186746162e-10,4.829815968427264e-08
6.310973381697487e-10,0,6.310973381697487e-10,0,6.310973381697487e-10,1.318733959302999e-08
6.331146871967494e-10,0,6.331146871967494e-10,0,6.331146871967494e-10,-8.599046039173222e-09
6.357002534640947e-10,0,6.357002534640947e-10,0,6.357002534640947e-10,-1.067725017686004e-08
6.395447074314089e-10,0,6.395447074314089e-10,0,6.395447074314089e-10,1.189040691101444e-08
6.452049764163539e-10,0,6.452049764163539e-10,0,6.452049764163539e-10,2.43399899815352e-08
6.516153636071022e-10,0,6.516153636071022e-10,0,6.516153636071022e-10,1.21257190404229e-09
6.568198503574366e-10,0,6.568198503574366e-10,0,6.568198503574366e-10,-3.685458592419155e-08
6.61890012632144e-10,0,6.61890012632144e-10,0,6.61890012632144e-10,8.500605582862132e-09
6.676873046899457e-10,0,6.676873046899457e-10,0,6.676873046899457e-10,1.003242790952693e-07
6.730766712497355e-10,0,6.730766712497355e-10,0,6.730766712497355e-10,1.514258137784326e-07
6.786164431529072e-10,0,6.786164431529072e-10,0,6.786164431529072e-10,1.225829655955478e-07
6.856695689747458e-10,0,6.856695689747458e-10,0,6.856695689747458e-10,5.752601275532585e-08
6.939746130056953e-10,0,6.939746130056953e-10,0,6.939746130056953e-10,2.064900538071276e-08
7.024032364735771e-10,0,7.024032364735771e-10,0,7.024032364735771e-10,7.75149039681572e-08
7.098474633495596e-10,0,7.098474633495596e-10,0,7.098474633495596e-10,1.19873981233513e-07
7.175568957364779e-10,0,7.175568957364779e-10,0,7.175568957364779e-10,1.257483068875666e-07
7.251526652196942e-10,0,7.251526652196942e-10,0,7.251526652196942e-10,1.411546592334851e-07
7.333567436656971e-10,0,7.333567436656971e-10,0,7.333567436656971e-10,-2.631735233451818e-08
7.432241678891567e-10,0,7.432241678891567e-10,0,7.432241678891567e-10,-1.641992988392699e-07
7.524746323298317e-10,0,7.524746323298317e-10,0,7.524746323298317e-10,-7.555645656681851e-09
