;Version, 1, 0
;/D,;/CLK,;/QB
;X, Y,;X, Y,;X, Y
;Re, Re,;Re, Re,;Re, Re
;time, V,;time, V,;time, V
;s, V,;s, V,;s, V
1.628470466866939e-10,0.8,1.628470466866939e-10,0,1.628470466866939e-10,0.8001931501216785
1.708949296527501e-10,0.8,1.708949296527501e-10,0,1.708949296527501e-10,0.8002361292360862
1.794753053130563e-10,0.8,1.794753053130563e-10,0,1.794753053130563e-10,0.800198425698764
1.863665017970448e-10,0.8,1.863665017970448e-10,0,1.863665017970448e-10,0.8001477211402712
1.913091866511089e-10,0.8,1.913091866511089e-10,0,1.913091866511089e-10,0.8000998593026836
1.965899360826363e-10,0.8,1.965899360826363e-10,0,1.965899360826363e-10,0.8001006810282282
2.022679577039469e-10,0.8,2.022679577039469e-10,0,2.022679577039469e-10,0.8001510955030864
2.076476711355022e-10,0.8,2.076476711355022e-10,0,2.076476711355022e-10,0.8001388708538405
2.131270865613699e-10,0.8,2.131270865613699e-10,0,2.131270865613699e-10,0.8000685174826678
2.173309857552343e-10,0.8,2.173309857552343e-10,0,2.173309857552343e-10,0.8000304228588266
2.231968882187404e-10,0.8,2.231968882187404e-10,0,2.231968882187404e-10,0.7999869263247351
2.293630353651723e-10,0.8,2.293630353651723e-10,0,2.293630353651723e-10,0.7999517096308155
2.37545457041592e-10,0.8,2.37545457041592e-10,0,2.37545457041592e-10,0.7999334335619248
2.485540779991266e-10,0.8,2.485540779991266e-10,0,2.485540779991266e-10,0.7999255824933759
2.622021947106419e-10,0.8,2.622021947106419e-10,0,2.622021947106419e-10,0.7999452461379729
2.793845658105073e-10,0.8,2.793845658105073e-10,0,2.793845658105073e-10,0.7999655699445777
3.014465999166705e-10,0.8,3.014465999166705e-10,0,3.014465999166705e-10,0.7999856343267679
3.303133546518252e-10,0.8,3.303133546518252e-10,0,3.303133546518252e-10,0.7999914963510857
3.679608166727172e-10,0.8,3.679608166727172e-10,0,3.679608166727172e-10,0.7999973848319448
4.171228725633077e-10,0.8,4.171228725633077e-10,0,4.171228725633077e-10,0.7999975028064334
4.815170595481755e-10,0.8,4.815170595481755e-10,0,4.815170595481755e-10,0.7999995577145044
5.457585297740877e-10,0.8,5.457585297740877e-10,0,5.457585297740877e-10,0.7999989637865539
6.1e-10,0.8,6.1e-10,0,6.1e-10,0.7999998987673084
6.10009765625e-10,0.799218749999995,6.10009765625e-10,0,6.10009765625e-10,0.7999991038283563
6.100292968750001e-10,0.797656249999985,6.100292968750001e-10,0,6.100292968750001e-10,0.7999960307774356
6.100683593750004e-10,0.7945312499999649,6.100683593750004e-10,0,6.100683593750004e-10,0.7999865466214398
6.101409311455995e-10,0.7887255083520387,6.101409311455995e-10,0,6.101409311455995e-10,0.7999695625189255
6.10234032295496e-10,0.7812774163603148,6.10234032295496e-10,0,6.10234032295496e-10,0.7999494480786005
6.104202345952891e-10,0.7663812323768668,6.104202345952891e-10,0,6.104202345952891e-10,0.7999129962203232
6.107926391948753e-10,0.7365888644099712,6.107926391948753e-10,0,6.107926391948753e-10,0.7998587156715786
6.115374483940477e-10,0.6770041284761799,6.115374483940477e-10,0,6.115374483940477e-10,0.7997802119841236
6.128238613112068e-10,0.5740910951034541,6.128238613112068e-10,0,6.128238613112068e-10,0.7997503002211941
6.153966871455249e-10,0.368265028358003,6.153966871455249e-10,0,6.153966871455249e-10,0.7998193008926163
